Date,Fallacy,Label,Subcategory,Context,fix,strategy,fixed_context
2000,"That is a legitimate concern, this is a very important area.",AppealtoEmotion,Appeal to fear,"He's concerned that if he had to send them into combat it would mean lives lost. That is a legitimate concern, this is a very important area. The fact that the U. S. military is worse off today than it was eight years ago.",That is a problem.,Generalizing + weakening,He's concerned that if he had to send them into combat it would mean lives lost. That is a problem. The fact that the U. S. military is worse off today than it was eight years ago.
2004,The 9/11 Commission put out a report that said America is safer but not yet safe.,AppealtoEmotion,Appeal to fear,I vowed to the American people after that fateful day of September the 11th that we would not rest nor tire until we're safe. The 9/11 Commission put out a report that said America is safer but not yet safe. There is more work to be done.,The 9/11 Commission released a report stating that America still has room for improvement in security.,Generalizing + weakening,I vowed to the American people after that fateful day of September the 11th that we would not rest nor tire until we're safe. The 9/11 Commission released a report stating that America still has room for improvement in security. There is more work to be done.
1996,That is a reign of terror. It's happening.,AppealtoEmotion,Appeal to fear,"Regulations that take property or reduce the value of some farmer or rancher or homeowner's property for wetlands or endangered species and take that property or reduce its value without compensating the owner. That is a reign of terror. It's happening. In Oregon, not too long ago, a farmer took 25 percent of his property and declared it a wetland.",,Removing emotional snippet,"Regulations that take property or reduce the value of some farmer or rancher or homeowner's property for wetlands or endangered species and take that property or reduce its value without compensating the owner.  In Oregon, not too long ago, a farmer took 25 percent of his property and declared it a wetland."
2004,The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans.,AppealtoEmotion,Appeal to fear,The effort that we've mounted with respect to Iraq focused specifically on the possibility that this was the most likely nexus between the terrorists and weapons of mass destruction. The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans. What we did in Iraq was exactly the right thing to do.,We faced hard situations.,Generalizing + weakening + removing emotional snippet,The effort that we've mounted with respect to Iraq focused specifically on the possibility that this was the most likely nexus between the terrorists and weapons of mass destruction. We faced hard situations. What we did in Iraq was exactly the right thing to do.
2004,"But yes, I'm worried. I'm worried. I'm worried about our country.",AppealtoEmotion,Appeal to fear,"Well, we'll talk about the tax cut for middle class here in a minute. But yes, I'm worried. I'm worried. I'm worried about our country. And all I can tell you is every day I know that there's people working overtime, doing the very best they can.",,Removing emotional snippet,"Well, we'll talk about the tax cut for middle class here in a minute.  And all I can tell you is every day I know that there's people working overtime, doing the very best they can."
2008,"In the meantime, bin Laden is still out there. He is not captured. He is not killed.",AppealtoEmotion,Appeal to fear,"That has been where all our resources have gone. In the meantime, bin Laden is still out there. He is not captured. He is not killed. Al Qaida is resurgent.","In the meantime, there are still some issues to solve.",Generalizing,"That has been where all our resources have gone. In the meantime, there are still some issues to solve. Al Qaida is resurgent."
2004,"This is a group of killers who will not only kill here, but kill children in Russia, that'll attack unmercifully in Iraq, hoping to shake our will.",AppealtoEmotion,Appeal to fear,"And that's what they are. This is a group of killers who will not only kill here, but kill children in Russia, that'll attack unmercifully in Iraq, hoping to shake our will. We have a duty to defeat this enemy.",This is a group of killers.,Removing emotional snippet,And that's what they are. This is a group of killers. We have a duty to defeat this enemy.
1976,I also - know that as far as the human beings on this earth are concerned that the nonproliferation of atomic weapons is number one.,AppealtoEmotion,Appeal to fear,"As a nuclear engineer myself, I know the limitations and capabilities of atomic power. I also - know that as far as the human beings on this earth are concerned that the nonproliferation of atomic weapons is number one. Only the last few days with the election approaching, has Mr. Ford taken any interest in a nonproliferation movement.",I also - know that as far as the human beings on this earth are worried about atomic weapons.,Generalizing + weakening,"As a nuclear engineer myself, I know the limitations and capabilities of atomic power. I also - know that as far as the human beings on this earth are worried about atomic weapons. Only the last few days with the election approaching, has Mr. Ford taken any interest in a nonproliferation movement."
1980,You are robbing the American people of their savings.,AppealtoEmotion,Appeal to fear,"And it isn't really higher prices, it's just, you are reducing the value of the money. You are robbing the American people of their savings. And so, the plan that I have proposed - and contrary to what John says, my plan is for a phased - in tax cut over a three - year period, tax increase and depreciation allowances for business and industry to give them the capital to refurbish plant and equipment, research and development, improved technology - all of which we see our foreign competitors having, and we have the greatest percentage of outmoded industrial plant and equipment of any of the industrial nations - produce more, have stable money supply, and give the people of this country a greater share of their own savings.",American people are not happy about what you are doing to them.,Generalizing + weakening + removing emotional snippet,"And it isn't really higher prices, it's just, you are reducing the value of the money. American people are not happy about what you are doing to them. And so, the plan that I have proposed - and contrary to what John says, my plan is for a phased - in tax cut over a three - year period, tax increase and depreciation allowances for business and industry to give them the capital to refurbish plant and equipment, research and development, improved technology - all of which we see our foreign competitors having, and we have the greatest percentage of outmoded industrial plant and equipment of any of the industrial nations - produce more, have stable money supply, and give the people of this country a greater share of their own savings."
2016,"After 9/11, I went to work with Republican mayor, governor and president to rebuild New York and to get health care for our first responders who were suffering because they had run toward danger and gotten sickened by it.",AppealtoEmotion,Appeal to fear,"Hundreds of thousands of kids now have a chance to be adopted because I worked to change our adoption and foster care system. After 9/11, I went to work with Republican mayor, governor and president to rebuild New York and to get health care for our first responders who were suffering because they had run toward danger and gotten sickened by it. Hundreds of thousands of National Guard and Reserve members have health care because of work that I did, and children have safer medicines because I was able to pass a law that required the dosing to be more carefully done.","After 9/11, I went to work with Republican mayor, governor and president to rebuild New York and to get health care for our first responders.",Removing emotional snippet,"Hundreds of thousands of kids now have a chance to be adopted because I worked to change our adoption and foster care system. After 9/11, I went to work with Republican mayor, governor and president to rebuild New York and to get health care for our first responders. Hundreds of thousands of National Guard and Reserve members have health care because of work that I did, and children have safer medicines because I was able to pass a law that required the dosing to be more carefully done."
2004,He's the one you will see on the evening news beheading hostages.,AppealtoEmotion,Appeal to fear,"He is responsible for most of the major car bombings that have killed or maimed thousands of people. He's the one you will see on the evening news beheading hostages. He is, without question, a bad guy.",,Removing emotional snippet,"He is responsible for most of the major car bombings that have killed or maimed thousands of people.  He is, without question, a bad guy."
1960,Now what do the Chinese Communists want? They don't want just Quemoy and Matsu; they don't want just Formosa; they want the world.,AppealtoEmotion,Appeal to fear,"He wanted first uh - we know, Austria, and then he went on to the Sudetenland and then Danzig, and each time it was thought this is all that he wanted. Now what do the Chinese Communists want? They don't want just Quemoy and Matsu; they don't want just Formosa; they want the world. And the question is if you surrender or indicate in advance that you're not going to defend any part of the free world, and you figure that's going to satisfy them, it doesn't satisfy them.",Now what do the Chinese want? ,Generalizing + weakening + removing emotional snippet,"He wanted first uh - we know, Austria, and then he went on to the Sudetenland and then Danzig, and each time it was thought this is all that he wanted. Now what do the Chinese want?  And the question is if you surrender or indicate in advance that you're not going to defend any part of the free world, and you figure that's going to satisfy them, it doesn't satisfy them."
2004,"And if Iraq were to fail, it'd be a haven for terrorists, and there would be money and the world would be much more dangerous.",AppealtoEmotion,Appeal to fear,"First of all, I don't think he can succeed in Iraq. And if Iraq were to fail, it'd be a haven for terrorists, and there would be money and the world would be much more dangerous. I don't see how you can win in Iraq if you don't believe we should be there in the first place.",,Removing emotional snippet,"First of all, I don't think he can succeed in Iraq.  I don't see how you can win in Iraq if you don't believe we should be there in the first place."
2000,He is a danger.,AppealtoEmotion,Appeal to fear,"We don't know -- there are no inspectors now in Iraq, the coalition that was in place isn't as strong as it used to be. He is a danger. We don't want him fishing in troubled waters in the Middle East.",,Removing emotional snippet,"We don't know -- there are no inspectors now in Iraq, the coalition that was in place isn't as strong as it used to be.  We don't want him fishing in troubled waters in the Middle East."
2016,"Just today, policemen was shot, two killed. And this is happening on a weekly basis.",AppealtoEmotion,Appeal to fear,"We’re going to bring back law and order. Just today, policemen was shot, two killed. And this is happening on a weekly basis. We have to bring back respect to law enforcement.","Just today, there has been problems with the police.",Generalizing + weakening + removing emotional snippet,"We’re going to bring back law and order. Just today, there has been problems with the police. We have to bring back respect to law enforcement."
2004,"Now, Prime Minister Allawi came here, and he said the terrorists are pouring over the border. That's Allawi's assessment.",AppealtoEmotion,Appeal to fear,"He has more of the same. Now, Prime Minister Allawi came here, and he said the terrorists are pouring over the border. That's Allawi's assessment. The national intelligence assessment that was given to the president in July said, best - case scenario, more of the same of what we see today; worst - case scenario, civil war.","Now, Prime Minister Allawi came here giving updates for terrorists. That's Allawi's assessment.",Generalizing + weakening,"He has more of the same. Now, Prime Minister Allawi came here giving updates for terrorists. That's Allawi's assessment. The national intelligence assessment that was given to the president in July said, best - case scenario, more of the same of what we see today; worst - case scenario, civil war."
2008,This is dangerous. It isn't just naive; it's dangerous.,AppealtoEmotion,Appeal to fear,"What Senator Obama doesn't seem to understand that if without precondition you sit down across the table from someone who has called Israel a ""stinking corpse,"" and wants to destroy that country and wipe it off the map, you legitimize those comments. This is dangerous. It isn't just naive; it's dangerous. And so we just have a fundamental difference of opinion.",,Removing emotional snippet,"What Senator Obama doesn't seem to understand that if without precondition you sit down across the table from someone who has called Israel a ""stinking corpse,"" and wants to destroy that country and wipe it off the map, you legitimize those comments.  And so we just have a fundamental difference of opinion."
1988,"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",AppealtoEmotion,Appeal to fear,"And I favor the death penalty. I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting. And so I am not going to furlough men like Willie Horton, and I would meet with their, the victims of his last escapade, the rape and the brutalization of the family down there in Maryland.",I know it's tough and honest people can disagree. And I do believe it would be inhibiting.,Removing emotional snippet,"And I favor the death penalty. I know it's tough and honest people can disagree. And I do believe it would be inhibiting. And so I am not going to furlough men like Willie Horton, and I would meet with their, the victims of his last escapade, the rape and the brutalization of the family down there in Maryland."
1976,"We've seen, in this world, a development of a tremendous threat to us.",AppealtoEmotion,Appeal to fear,"He has learned the date of the expiration of SALT I, apparently. We've seen, in this world, a development of a tremendous threat to us. As a nuclear engineer myself, I know the limitations and capabilities of atomic power.",,Removing emotional snippet,"He has learned the date of the expiration of SALT I, apparently.  As a nuclear engineer myself, I know the limitations and capabilities of atomic power."
2000,We don't know whether he's developing weapons of mass destruction,AppealtoEmotion,Appeal to fear,The sanctions are being violated. We don't know whether he's developing weapons of mass destruction. He better not be or there's going to be a consequence should I be the president.,We don't know whether he's developing something.,Generalizing + weakening,The sanctions are being violated. We don't know whether he's developing something.. He better not be or there's going to be a consequence should I be the president.
1960,"We went through this tragic experience leading to World War II. We learned our lesson again in Korea, We must not learn it again.",AppealtoEmotion,Appeal to fear,"And that means war. We went through this tragic experience leading to World War II. We learned our lesson again in Korea, We must not learn it again. That is why I think the Senate was right, including a majority of the Democrats, a majority of the Republicans, when they rejected Senator Kennedy's position in 1955.",,Removing emotional snippet,"And that means war.  That is why I think the Senate was right, including a majority of the Democrats, a majority of the Republicans, when they rejected Senator Kennedy's position in 1955."
1996,"You're not going to have the opportunities; there are going to be more deficits, more drugs, more crime, and less confidence in the American people.",AppealtoEmotion,Appeal to fear,"They're the ones who have the challenges and they are people out there making predictions that it's not going to be the same. You're not going to have the opportunities; there are going to be more deficits, more drugs, more crime, and less confidence in the American people. And that's what you're faced with, the parents are faced with, and the grand parents are faced with.",You're not going to have the opportunities; there are going to be less confidence in the American people.,Removing emotional snippet,"They're the ones who have the challenges and they are people out there making predictions that it's not going to be the same. You're not going to have the opportunities; there are going to be less confidence in the American people. And that's what you're faced with, the parents are faced with, and the grand parents are faced with."
2008,"She asked me, can you please make sure another mother is not going through what I'm going through.",AppealtoEmotion,Appeal to fear,"I've got a bracelet, too, from Sergeant - from the mother of Sergeant Ryan David Jopeck (ph), given to me in green bay. She asked me, can you please make sure another mother is not going through what I'm going through. No U. S. soldier ever dies in vain because they're carrying out the missions of their commander in chief.",,Removing emotional snippet,"I've got a bracelet, too, from Sergeant - from the mother of Sergeant Ryan David Jopeck (ph), given to me in green bay.  No U. S. soldier ever dies in vain because they're carrying out the missions of their commander in chief."
1996,That's dangerous and it's provocative.,AppealtoEmotion,Appeal to fear,"I don't think, Jim, that Bob Dole was suggesting that the defense of our country is a jobs or a socioeconomic program, but it's clear that the defense budget of this administration has taken defense as a percent of our national economy to a lower level than it was prior to Pearl Harbor. That's dangerous and it's provocative. And the mixed message, the ambiguities of U. S. foreign policy, uh are -- I believe, and Bob Dole believes, is causing not only problems for this country throughout the world, but particularly here at home.",,Removing emotional snippet,"I don't think, Jim, that Bob Dole was suggesting that the defense of our country is a jobs or a socioeconomic program, but it's clear that the defense budget of this administration has taken defense as a percent of our national economy to a lower level than it was prior to Pearl Harbor.  And the mixed message, the ambiguities of U. S. foreign policy, uh are -- I believe, and Bob Dole believes, is causing not only problems for this country throughout the world, but particularly here at home."
2000,"But if you're a younger worker, if you're younger, you better hope this country thinks differently, otherwise you're gonna be faced with huge payroll taxes or reduced benefits.",AppealtoEmotion,Appeal to fear,"People are going to get paid. But if you're a younger worker, if you're younger, you better hope this country thinks differently, otherwise you're gonna be faced with huge payroll taxes or reduced benefits. And you bet we're gonna take a trillion dollars of your own money and let you invest it under safe guidelines so you get a better rate of return on the money than the paltry 2% that the federal government gets for you today.","But if you're a younger worker, if you're younger, you better hope this country thinks differently.",Removing emotional snippet,"People are going to get paid. But if you're a younger worker, if you're younger, you better hope this country thinks differently. And you bet we're gonna take a trillion dollars of your own money and let you invest it under safe guidelines so you get a better rate of return on the money than the paltry 2% that the federal government gets for you today."
2004,He is responsible for most of the major car bombings that have killed or maimed thousands of people.,AppealtoEmotion,Appeal to fear,We know he's still in Baghdad today. He is responsible for most of the major car bombings that have killed or maimed thousands of people. He's the one you will see on the evening news beheading hostages.,,Removing emotional snippet,We know he's still in Baghdad today.  He's the one you will see on the evening news beheading hostages.
2000,We might have no other choice. We'll have to see if that happens.,AppealtoEmotion,Appeal to fear,"We might have no other choice. We'll have to see if that happens. The thing about Iraq, of course, was at the end of the war we had pretty well decimated their military.",,Removing emotional snippet," The thing about Iraq, of course, was at the end of the war we had pretty well decimated their military."
1976,The American people had lost faith and trust and confidence in the presidency itself.,AppealtoEmotion,Appeal to fear,"We had inflation of over 12 percent, we were on the brink of the worst recession in the last forty years, we were still deeply involved in the problems of Vietnam. The American people had lost faith and trust and confidence in the presidency itself. That uh - situation called for me to first put the United States on a steady course and to keep our keel well balanced, because we had to face the difficult problems that had all of a sudden hit America.",,Removing emotional snippet,"We had inflation of over 12 percent, we were on the brink of the worst recession in the last forty years, we were still deeply involved in the problems of Vietnam.  That uh - situation called for me to first put the United States on a steady course and to keep our keel well balanced, because we had to face the difficult problems that had all of a sudden hit America."
2004,"And it's important for America to confront the situation in Iran, because Iran is an enormous threat to Israel and to the Israeli people.",AppealtoEmotion,Appeal to fear,"And I might add, it is very important for America to crack down on the Saudis who have not had a public prosecution for financing terrorism since 9/11. And it's important for America to confront the situation in Iran, because Iran is an enormous threat to Israel and to the Israeli people. Gwen, I want to go back to the last comment, and then I'll come back to Israel - Palestine.",And it's important for America to confront the situation in Iran.,Removing emotional snippet,"And I might add, it is very important for America to crack down on the Saudis who have not had a public prosecution for financing terrorism since 9/11. And it's important for America to confront the situation in Iran. Gwen, I want to go back to the last comment, and then I'll come back to Israel - Palestine."
2016,We’re going to defeat ISIS.,AppealtoEmotion,Appeal to fear,I will knock the hell out of ISIS. We’re going to defeat ISIS. ISIS happened a number of years ago in a vacuum that was left because of bad judgment.,,Removing emotional snippet,I will knock the hell out of ISIS.  ISIS happened a number of years ago in a vacuum that was left because of bad judgment.
2008,"Tragically, I was right: Nearly 300 Marines lost their lives in the bombing of the barracks.",AppealtoEmotion,Appeal to fear,"And I saw that, and I saw the situation, and I stood up, and I voted against that, because I was afraid that they couldn't make peace in a place where 300 or 400 or several hundred Marines would make a difference. Tragically, I was right: Nearly 300 Marines lost their lives in the bombing of the barracks. And then we had Somalia -- then we had the first Gulf War.",,Removing emotional snippet,"And I saw that, and I saw the situation, and I stood up, and I voted against that, because I was afraid that they couldn't make peace in a place where 300 or 400 or several hundred Marines would make a difference.  And then we had Somalia -- then we had the first Gulf War."
2004,"These terrorists are serious, they're deadly, and they know nothing except trying to kill.",AppealtoEmotion,Appeal to fear,"And I accept what the president has said. These terrorists are serious, they're deadly, and they know nothing except trying to kill. I understand that.",,Removing emotional snippet,And I accept what the president has said.  I understand that.
2016,"we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times.",AppealtoEmotion,Appeal to fear,"But this is locker room talk. You know, when we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times. We haven’t seen anything like this, the carnage all over the world.",we have a world where ISIS is acting in the most diverse ways.,Generalizing + weakening + removing emotional snippet,"But this is locker room talk. You know, when we have a world where ISIS is acting in the most diverse ways. We haven’t seen anything like this, the carnage all over the world."
2004,Osama bin Laden uses the invasion of Iraq in order to go out to people and say that America has declared war on Islam.,AppealtoEmotion,Appeal to fear,"And I know what many of them say today, and I know how to bring them back to the table. And I believe that a fresh start, new credibility, a president who can understand what we have to do to reach out to the Muslim world to make it clear that this is not, you know -- Osama bin Laden uses the invasion of Iraq in order to go out to people and say that America has declared war on Islam. We need to be smarter about now we wage a war on terror.",,Removing emotional snippet,"And I know what many of them say today, and I know how to bring them back to the table. And I believe that a fresh start, new credibility, a president who can understand what we have to do to reach out to the Muslim world to make it clear that this is not, you know --  We need to be smarter about now we wage a war on terror."
2004,"And the point is that that's the place where you're most likely to see the terrorists come together with weapons of mass destruction, the deadly technologies that Saddam Hussein had developed and used over the years.",AppealtoEmotion,Appeal to fear,"I have not suggested there's a connection between Iraq and 9/11, but there's clearly an established Iraqi track record with terror. And the point is that that's the place where you're most likely to see the terrorists come together with weapons of mass destruction, the deadly technologies that Saddam Hussein had developed and used over the years. Now, the fact of the matter is, the big difference here, Gwen, is they are not prepared to deal with states that sponsor terror.",,Removing emotional snippet,"I have not suggested there's a connection between Iraq and 9/11, but there's clearly an established Iraqi track record with terror.  Now, the fact of the matter is, the big difference here, Gwen, is they are not prepared to deal with states that sponsor terror."
1996,They want them to be able to drink clean water and breathe clean air. They don't want them to live next to toxic waste sites.,AppealtoEmotion,Appeal to fear,"All around the world we're seeing problems that people want to solve because they love their children. They want them to be able to drink clean water and breathe clean air. They don't want them to live next to toxic waste sites. When the United States of America takes the lead in protecting the environment, we do right by our children, and we also create new business opportunities, new jobs, new sources of prosperity for the United States of America, and we're going about it in a common sense way.",They want them to be able to drink clean water and breathe clean air.,Removing emotional snippet,"All around the world we're seeing problems that people want to solve because they love their children. They want them to be able to drink clean water and breathe clean air. When the United States of America takes the lead in protecting the environment, we do right by our children, and we also create new business opportunities, new jobs, new sources of prosperity for the United States of America, and we're going about it in a common sense way."
2016,"We haven’t seen anything like this, the carnage all over the world. And they look and they see.",AppealtoEmotion,Appeal to fear,"You know, when we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times. We haven’t seen anything like this, the carnage all over the world. And they look and they see. Can you imagine the people that are, frankly, doing so well against us with ISIS?",We haven’t seen anything like this.,Removing emotional snippet,"You know, when we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times. We haven’t seen anything like this. Can you imagine the people that are, frankly, doing so well against us with ISIS?"
1996,Families are under tremendous pressure. People do not -- do not feel safe in their homes. A mother doesn't feel safe sending her child to school. Our schools are not educating.,AppealtoEmotion,Appeal to fear,Our culture seems to be weakening all around us. Families are under tremendous pressure. People do not -- do not feel safe in their homes. A mother doesn't feel safe sending her child to school. Our schools are not educating. It's not the problem of the teachers.,Families are under tremendous pressure.,Removing emotional snippet,Our culture seems to be weakening all around us. Families are under tremendous pressure. It's not the problem of the teachers.
2016,That's why we're losing—we're losing—we lose on everything.,AppealtoEmotion,Appeal to fear,"But they should be paying us, because we are providing tremendous service and we're losing a fortune. That's why we're losing—we're losing—we lose on everything. I say, who makes these—we lose on everything.",,Removing emotional snippet,"But they should be paying us, because we are providing tremendous service and we're losing a fortune.  I say, who makes these—we lose on everything."
1960,they are important and dangerous now because they are mounting a major effort within their own country,AppealtoEmotion,Appeal to fear,"The Chinese Communists have always had a large population. But they are important and dangerous now because they are mounting a major effort within their own country. The kind of country we have here, the kind of society we have, the kind of strength we build in the United States will be the defense of freedom.",,Removing emotional snippet,"The Chinese Communists have always had a large population. But . The kind of country we have here, the kind of society we have, the kind of strength we build in the United States will be the defense of freedom."
1996,It is extremely risky.,AppealtoEmotion,Appeal to fear,"That means higher mortgage payments, particularly those with the variable rate mortgages, higher car payments, he would also lead to much deeper cuts in Medicare, Medicaid, education and the environment. It is extremely risky. And as for these harsh words, I don't take them personally.",,Removing emotional snippet,"That means higher mortgage payments, particularly those with the variable rate mortgages, higher car payments, he would also lead to much deeper cuts in Medicare, Medicaid, education and the environment.  And as for these harsh words, I don't take them personally."
2004,They're more dangerous today than they were four years ago.,AppealtoEmotion,Appeal to fear,"Iran has moved forward with its nuclear weapons program. They're more dangerous today than they were four years ago. North Korea has moved forward with their nuclear weapons program, gone from one to two nuclear weapons to six to eight nuclear weapons.",,Removing emotional snippet,"Iran has moved forward with its nuclear weapons program.  North Korea has moved forward with their nuclear weapons program, gone from one to two nuclear weapons to six to eight nuclear weapons."
2012,"You know, just a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater. And her son had been shot through the head.",AppealtoEmotion,Appeal to fear,"Most recently out in Aurora. You know, just a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater. And her son had been shot through the head. And we spent some time, and we said a prayer and, remarkably, about two months later, this young man and his mom showed up, and he looked unbelievable, good as new.","You know, just a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater. ",Removing emotional snippet,"Most recently out in Aurora. You know, just a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater.  And we spent some time, and we said a prayer and, remarkably, about two months later, this young man and his mom showed up, and he looked unbelievable, good as new."
