starting,fixed
"We've got an extraordinarily high unemployment rate among downtown urban ghetto areas, uh - particularly among the very poor and particularly among minority groups, sometimes 50 or 60 percent.","We've got an extraordinarily high unemployment rate among downtown urban ghetto areas, sometimes 50 or 60 percent."
"That when people own something, they have a stake in the American dream. That is Affirmative Action in America.",People contributes in the economy.
The present tax structure is a disgrace to this country; it's just a welfare program for the rich.,The present tax structure is a shame to this country; it's just a welfare program for the rich.
We turned -- this is the man who masterminded the greatest mass murder and terrorist attack in American history.,We turned -- this is the killer.
"To negotiate with the Soviet Union a balanced, controlled, observable, and then reducing levels of atomic weaponry, there is a disturbing pattern in the attitude of Governor Reagan.","To negotiate with the Soviet Union a balanced, controlled, observable, and then reducing levels of atomic weaponry, there is a perplexing way to act in Governor Reagan."
"As I've seen abortions sometimes used as a birth control device, for heavens sakes.",As I've seen abortions sometimes used as a contraception method.
"This war is a long, long war, and it requires steadfast determination and it requires a complete understanding that we not only chase down Al Qaida but we disrupt terrorist safe havens as well as people who could provide the terrorists with support.","This war is a long, long war, and it requires steadfast determination and it requires a complete understanding that we not only chase down Al Qaida but we disrupt terrorist hideouts as well as people who could provide the terrorists with support."
"You know, just a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater. And her son had been shot through the head.","You know, just a couple of weeks ago, actually, probably about a month, I saw a mother, who I had met at the bedside of her son, who had been shot in that theater."
"I'd like to have what 43 governors have -- the line item veto, so if the Congress can't cut, and we've got a reckless spending Congress, let the president have a shot at it by wiping out things that are pork barrel or something of that nature.","I'd like to have what 43 governors have -- the line item veto, so if the Congress can't cut, and we've got a reckless spending Congress, let the president have a shot at it by wiping out things that are favors or something of that nature."
"After 9/11, I went to work with Republican mayor, governor and president to rebuild New York and to get health care for our first responders who were suffering because they had run toward danger and gotten sickened by it.","After 9/11, I went to work with Republican mayor, governor and president to rebuild New York and to get health care for our first responders."
"I think we all recall with some sadness that at uh - the period of the nin- late nineteen forties, early nineteen fifties, there were some indications that the United States would not include uh - South Korea in an area of defense.","I think we all recall the period of the late nineteen forties, early nineteen fifties, there were some indications that the United States would not include South Korea in an area of defense."
Now what do the Chinese Communists want? They don't want just Quemoy and Matsu; they don't want just Formosa; they want the world.,Now what do the Chinese want?
"The figures that the President has just used about California is a distortion of the situation there, because while I was Governor of California, our spending in California increased less per capita than the spending in Georgia while Mr. Carter was Governor of Georgia in the same four years.","The figures that the President has just used about California is a misleading situation there, because while I was Governor of California, our spending in California increased less per capita than the spending in Georgia while Mr. Carter was Governor of Georgia in the same four years."
"So the fact of the matter is that if I occasionally have mistaken your policies for George Bush's policies, it's because on the core economic issues that matter to the American people, on tax policy, on energy policy, on spending priorities, you have been a vigorous supporter of President Bush.","So the fact of the matter is that if I occasionally have mistaken your policies for George Bush's policies, it's because on the core economic issues that matter to the American people, on tax policy, on energy policy, on spending priorities, you have been a supporter of President Bush."
"Americans are hurting right now, and they're angry. They're hurting, and they're angry.","People is hurting right now, and it's angry."
How do we do what he has advocated without causing great distress within our own county?,How do we do what he has advocated without causing concerns within our own county?
The education is a disaster. Jobs are essentially nonexistent.,Education and job sectors are living a bad moment.
So the president's wrong.,I don't agree with the president.
And we certainly need to reform this tax code that is a product of this terrible century of war and recession and inflations.,And we certainly need to reform this tax code that is a product of this century of war and recession and inflations.
"But I do make a pledge that in the next ten days when we're asking the American people to make one of the most important decisions in their lifetime, because I think this election is one of the mast vital in the history of America, that uh - we do together what we can to stimulate voter participation.",Voter participation needs to be stimulated.
It's time for a fresh start after a season of cynicism.,It's time for a fresh start after a season of hostility.
"But I would like to call the attention of the people to the fact that that so - called simple amendment would be used by mischievous men to destroy discriminations that properly belong, by law, to women respecting the physical differences between the two sexes, labor laws that protect them against things that would be physically harmful to them.","But I would like to call the attention of the people to the fact that that so - called simple amendment would be used by mischievous men to destroy other discriminations respecting the physical differences between the two sexes, labor laws that protect them against things that would be physically harmful to them."
They're working harder and higher and harder paying more taxes.,Taxes are very high.
"The biggest problem I have with the stupidity of our foreign policy, we have Mosul.","The biggest problem I have with Mosul represents a minor problem fot our foreign policy., we have Mosul."
"When I watch the deals being made, when I watch what’s happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it’s a one - sided transaction where we’re giving back $150 billion to a terrorist state, really, the number one terror state, we’ve made them a strong country from really a very weak country just three years ago.","When I watch the deals being made, when I watch what’s happening with something like Obamacare, where your health insurance and health care is going up by numbers that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it’s a one - sided transaction where we’re giving back $150 billion to a terrorist state, really, the number one terror state, we’ve made them a strong country from really a very weak country just three years ago."
"The only thing, Jim, they have to offer is fear.","They have only one thing, Jim."
"But what is absolutely true is that, once we get through this economic crisis and some of the specific proposals to get us out of this slump, that we're not going to be able to go back to our profligate ways.","But what is absolutely true is that, once we get through this economic crisis, that we're not going to be able to go back to our profligate ways."
"But first of all, this is a nation of immigrants. We welcome people coming to this country as immigrants.",There are many immigrants.
"I could give better examples, but for - for whatever it is, whether it's in the field of housing, or health, or medical care, or schools, or the eh- development of electric power, we have programs which we believe will move America, move her forward and build on the wonderful record that we have made over these past seven and a half years.","I could give better examples, but for - for whatever it is, whether it's in the field of housing, or health, or medical care, or schools, or the eh- development of electric power, we have programs which we believe will better the situation, move her forward and build on the wonderful record that we have made over these past seven and a half years."
"The future of things that matter to you -- in terms of civil rights, what kind of Justice Department you'll have, whether we'll enforce the law. Will we have equal opportunity? Will women's rights be protected? Will we have equal pay for women, which is going backwards? Will a woman's right to choose be protected?","Civil rights, Justice Department, law enforcement, equal opportunity, women's rights, equal pay for women, and woman's right to choose be protected are the topics."
"But I don't confuse words with strength; and in my judgment if the summit was useful, if it would have brought us closer to peace, that rather than the lie that we told - which has been criticized by all responsible people afterwards - it would have been far better for us to follow the common diplomatic procedure of expressing regrets and then try to move on.","But I don't confuse words with strength; and in my judgment if the summit was useful, if it would have brought us closer to peace, that rather than the inaccuracy we told - which has been criticized by all responsible people afterwards - it would have been far better for us to follow the common diplomatic procedure of expressing regrets and then try to move on."
"That means that we must continue to have a balanced budget here at home in every possible circumstance that we can; because the moment that we have loss of confidence in our own fiscal policies at home, it results in gold flowing out.","That means that we must continue to have a balanced budget here at home in any case that we can; because the moment that we have loss of confidence in our own fiscal policies at home, it results in gold flowing out."
I didn't want to give a slush fund to Halliburton.,I didn't want to give a secret fund to Halliburton.
I also - know that as far as the human beings on this earth are concerned that the nonproliferation of atomic weapons is number one.,I also - know that as far as the human beings on this earth are worried about atomic weapons.
But we've got to keep going forward without killing off the engine and throwing people out of work.,But we've got to keep going forward without killing off the engine and firing.
"We ought to be very proud in our country, as most Americans are, that we've made tremendous progress, but we ought to recognize that we have more work to do.","We ought to be very proud in our country, as most Americans are, that we've made progress, but we ought to recognize that we have more work to do."
"I've got 5.5 million hard - working people who put me on the ballot, and I belong to them.",5.5 million hard - working people who voted.
"But in order to stop this arms madness, we've got to push ahead with tough negotiations that are verifiable so that we know the Soviets are agreeing and living up to their agreement.","But in order to stop this phenomenon about arms, we've got to push ahead with tough negotiations that are verifiable so that we know the Soviets are agreeing and living up to their agreement."
"But let me remind you, my family has suffered from drug abuse. I know what it's like to see somebody you love nearly lose their lives, and I hate drugs, Senator. We need to do this together and we can.",We need to do this together and we can.
I began this campaign because I was so tired of seeing such foolish things happen to our country.,I began this campaign because I was so tired of seeing silly things happen to our country.
"I think Aleppo is a disaster, humanitarian - wise.",Aleppo has many problems.
"And you know this liberal charge, that's what their party always drags out when they get in a tight race. It's sort of their golden oldie, you know.",This liberal charge is used when they get in a tight race.
It's the US that's taken the lead in humanitarian aid into Bosnia. We're doing this all around the world.,Bosnia is receiving help.
This is primarily an ideological battle - a battle for the minds and the hearts and the souls of men.,This is primarily an ideological battle - a battle under all the points of view.
That was a disaster.,That was a bad idea.
I think of the man who grabbed me by the shoulder once with tears in his eyes and said his daughter was dying of cancer and he thanked me for giving him a chance to spend some time with her without losing his job because of the Family and Medical Leave Act.,I think of the man who thanked me for giving him a chance to spend some time with her daughter that had cancer without losing his job because of the Family and Medical Leave Act.
"I think it is disgraceful that the Disability Insurance Fund in Social Security finds checks going every month to tens of thousands of people who are locked up in our institutions for crime or for mental illness, and they are receiving disability checks from Social Security every month while a state institution provides for all of their needs and their care.","I think it is unrespectable that the Disability Insurance Fund in Social Security finds checks going every month to tens of thousands of people who are locked up in our institutions for crime or for mental illness, and they are receiving disability checks from Social Security every month while a state institution provides for all of their needs and their care."
"I don't think there are any villains, but, boy, is the system rotten.",I think the system is corrupted.
I believe that the boycott of American businesses by the Arab countries because those businesses trade with Israel or because they have American Jews who are owners or directors in the company is an absolute disgrace.,I believe that the boycott of American businesses by the Arab countries because those businesses trade with Israel or because they have American Jews who are owners or directors in the company is a shame.
"And the point that I originally made is that we took our eye off Afghanistan, we took our eye off the folks who perpetrated 9/11, they are still sending out videotapes and Senator McCain, nobody is talking about defeat in Iraq, but I have to say we are having enormous problems in Afghanistan because of that decision.","And the point that I originally made is that we took our eye off Afghanistan, we took our eye off the folks who perpetrated 9/11, they are still sending out videotapes and Senator McCain, nobody is talking about defeat in Iraq, but I have to say we are having big troubles in Afghanistan because of that decision."
It is such an assault on the basic promise that America makes that the law will treat individuals as individuals regardless of their status.,America makes that the law will treat individuals as individuals regardless of their status.
"So we use diplomacy every chance we get, believe me.",Diplomacy is the best option.
"Beyond that, as far as the gold supply is concerned, and as far as the movement of gold is concerned, uh - we have to bear in mind that we must get more help from our allies abroad in this great venture in which all free men are involved of winning the battle for freedom.","Beyond that, as far as the gold supply is concerned, and as far as the movement of gold is concerned, uh - we have to bear in mind that we must get more help from our allies abroad in this great venture in which all free men are involved of winning the right of living."
"If China has a GDP of 7 percent, it’s like a national catastrophe.","If China has a GDP of 7 percent, it’s like bad situation."
"This ultimate terrorist threat is the most fearsome of all, and it's part of a pattern where our country must stand firm to control terrorism of all kinds.","This latest terrorist threat is the most terrifying of all, and it's part of a pattern where our country must stand firm to control terrorism of all kinds."
"They know that these toxic waste dumps should have been cleaned up a long time ago, and they know that people's lives and health are being risked, because we've had an administration that has been totally insensitive to the law and the demand for the protection of the environment.","They know that these toxic waste dumps should have been cleaned up a long time ago, and they know that people's lives and health are being risked, because we've had an administration that has been totally unresponsive to the law and the demand for the protection of the environment."
I vowed to the American people after that fateful day of September the 11th that we would not rest nor tire until we're safe.,I vowed to the American people after that unfortunate day of September the 11th that we would not rest nor tire until we're safe.
You're spending millions and millions of dollars in negative ads frightening senior citizens.,You're spending millions and millions of dollars in negative ads that affect senior citizens.
There is nothing more prejudiced than not educating a child.,It's a bad thing not educating a child.
"else. If we set those goals and we go together to try to achieve them, there’s nothing in my opinion that America can’t do.",Setting those goals and going together to try to achieve them shoud be a good idea.
"I've worked hard in the State of Texas to make sure our institutions reflect the state with good, smart policy.","State of Texas has begun to have a good, smart policy."
"If you want somebody who is willing to fight for you, I am asking for your support and your vote and, yes, your confidence and your willingness to believe that we can do the right thing in America, and be the better for it.",I am asking for your support and your vote.
"But it's also tremendously important to bear in mind that when you pour in money without pouring in technical assistance at w- as well, that you have a disastrous situation.","But it's also tremendously important to bear in mind that when you pour in money without pouring in technical assistance at w- as well, that you have the scenario it's not good."
"But I have a write - off, a lot of it’s depreciation, which is a wonderful charge.","But I have a write - off, a lot of it’s depreciation, which is a charge."
He called them coerced and the bribed.,He is against them.
"But, unlike Governor Reagan, I do not support a boondoggle like the MX missile.","But, unlike Governor Reagan, I do not support a lie like the MX missile."
"Well, we've got to re -- we've got to clean out the barn, if I may quote my boss, and start getting this investment money on the street so we can get, and encourage entrepreneurs to build factories.","Well, we've got to re -- we've got to start from scratch, if I may quote my boss, and start getting this investment money on the street so we can get, and encourage entrepreneurs to build factories."
"There's no doubt that the system needs reform and there are a lot of screwy things that we end up spending money on, and they need to be eliminated.","There's no doubt that the system needs reform and there are a lot of unconventional things that we end up spending money on, and they need to be eliminated."
The problems between races in America must be addressed.,There is a racism problem.
Partly because he didn't point the finger of blame looking for scapegoats he was quick to share the credit.,Partly because he didn't point the finger of blame looking for martyrs he was quick to share the credit.
We don't know whether he's developing weapons of mass destruction.,We don't know whether he's developing something.
It will come from the pockets of the people who are living in those very areas.,It is a wide problem of that area.
The facts are though -- the facts are -- the American people are hurting. These people are hurting in the inner cities.,There is a bad situation in the inner cities.
And he has a record of weakness with regard to our national defense that is second to none.,And he has a record of vulnerability with regard to our national defense that is second to none.
"I will never send troops anywhere on a mission of that kind without telling them that if somebody shoots at them, they can darn well shoot back.",I will never send troops anywhere on a mission of that kind without telling them that they can shoot if someone shoots at them.
"We provide the leadership and we're going to have to continue to provide the leadership, but let's do it on our terms when our interests are involved and not when somebody blows the whistle at the United Nations.",We provide the leadership and we're going to have to continue to provide the leadership involving our interests.
I think of a woman in Chicago when I was talking to parents about education where she stood up and said I'm sick and tired of these schools in this city being nothing but a factory for failure.,I think of a woman in Chicago when I was talking to parents about education where she complained about that educational system.
"Well, it is a terribly painful situation for Americans.","Well, it is a very bad situation for Americans."
"Well, Mr. Kraft, uh - I violently disagree with your assessment.","Well, Mr. Kraft, uh - I don't agree with your statement."
I want us to invest in you. I want us to invest in your future.,The future is the key.
"I would ask for your vote, and I promise you that if you give me the extraordinary honor of serving as your president, I will work every single day, tirelessly, on your behalf and on the behalf of the future of our children.","I would ask for your vote, and I promise you that if you give me the honor of serving as your president, I will work every single day, tirelessly, on your behalf and on the behalf of the future of our children."
"What we're talking about is a combination of a strong and effective and credible nuclear deterrent. Strong, well - equipped, well - trained, well - maintained conventional forces. And at the same time a willingness to move forward steadily, thoughtfully cautiously.","Our focus is on maintaining a credible nuclear deterrent and capable conventional forces, while also pursuing progress in a measured and responsible manner."
It will be a huge down payment for a pretty darn good system.,The down payment system will fit the system.
"And we would target it especially in areas that have been either depressed or which have lost a lot of defense related jobs. There are 200,000 people in California, for example, who have lost their defense related jobs.",And we would target it especially in areas that have been either depressed or which have lost a lot of defense related jobs.
"Inflation is robbing us, as we've already discussed, and the government bureaucracy is uh - just a horrible mess.","Inflation is robbing us, as we've already discussed, and the government bureaucracy is uh - just chaos."
"Almost every step of the way, our troops have been left on these extraordinarily difficult missions.","Almost every step of the way, our troops have been left on these difficult missions."
We're treading water. We have families that are hurting. We have people who are unemployed. We have people with no property. We have an administration that is demolishing public housing in our inner cities and not providing anything else but more public housing.,"There are many issues, especially in real estate."
Our education is not up to the standards that the American family and the American people want for their children.,Our education is not up to the standards that people want for their children.
"You know, in the last, or two decades ago, it was routine for leaders of foreign countries to come over here and say you guys have got to do something about these horrendous deficits because it's causing tremendous problems for the rest of the world, and we were lectured to all the time.","You know, in the last, or two decades ago, it was routine for leaders of foreign countries to come over here attacking our economy, and we were lectured to all the time."
It's a gateway to out - of - control spending and corruption.,It's a gateway to misuse of money and power.
"Beyond that, as far as the gold supply is concerned, and as far as the movement of gold is concerned, uh - we have to bear in mind that we must get more help from our allies abroad in this great venture in which all free men are involved of winning the battle for freedom.","Beyond that, as far as the gold supply is concerned, and as far as the movement of gold is concerned, uh - we have to bear in mind that we must get more help from our allies abroad in this operation in which all free men are involved of winning the battle for freedom."
This is going to be the great Trojan horse of all time.,This is going to be the worst mistake.
"As a matter of fact, the tools now given to the terrorist fighters are the same tools that we've been using against drug dealers and white - collar criminals.","As a matter of fact, the tools now given to the terrorist fighters are the same tools that we've been using against drug dealers and office worker.."
The fact of the matter is the plan is so complex that the ordinary American is never going to ever figure out what they even qualify for.,The plan is so complex that the ordinary people is never going to ever figure out what they even qualify for.
Our bonds with Israel are larger than agreements or disagreements on some details of diplomatic initiatives.,We have bonds with Israel.
"I have a few African - American friends who have gone through this horror and, you know, it makes me want to kind of hit the wall because it's such an assault on their humanity and their citizenship. We can't tolerate it anymore.",We can't tolerate it anymore.
"And when you look at your tax policies that are directed primarily at those who are doing well, and you are neglecting people who are really struggling right now, I think that is a continuation of the last eight years, and we can't afford another four.","think that is a continuation of the last eight years, and we can't afford another four."
"But the most important thing to relieve the pressure on all of the armed forces is frankly to run a foreign policy that recognizes that America is strongest when we are working with real alliances, when we are sharing the burdens of the world by working through our statesmanship at the highest levels and our diplomacy to bring other nations to our side.",But the most important thing to relieve the pressure on all of the armed forces is frankly to run a foreign policy.
"I regret to say that the president who called himself a uniter, not a divider, is now presiding over the most divided America in the recent memory of our country.",It's sad to see a former divider president presiding over a divided country more than ever.
"And I’ve heard this question from a lot of Muslim - Americans across our country, because, unfortunately, there’s been a lot of very divisive, dark things said about Muslims.","And I’ve heard this question from a lot of Muslim - Americans across our country, because, unfortunately, there’s been a lot of very divisive, bad things about Muslims."
"If you put American troops in there in larger number and don't get the Iraqis into the fight, you'll postpone the day when you can in fact bring our boys home.","If you put American troops in there in larger number and don't get the Iraqis into the fight, you'll postpone the day when you can in fact bring the military forces home."
It was ignored in that case and it was a very very serious mistake in judgment.,It was ignored in that case and it was a mistake in judgment.
"And so I favor, strongly favor, term limits.",I side with term limits.
"What we do is work on that budget by an aggressive program, not a painful program, so that we can start borrowing less money and getting more investment money on the street through entrepreneurs who can build factories, who will hire people, and maybe we'll start manufacturing goods here in this country again.","What we do is work on that budget by a powerful program, not a painful program, so that we can start borrowing less money and getting more investment money on the street through entrepreneurs who can build factories, who will hire people, and maybe we'll start manufacturing goods here in this country again."
"The United States of America shouldn't be blamed for the management of Mexico's monetary policy. We helped our neighbor in an hour of need, and they survived. They're stronger. They're coming back. They paid us back, and we got a dividend in the process.",Mexico has been helped and it's coming back. They're paying back the help received.
Doctors practice defensive medicine because of all the frivolous lawsuits that cost our government $28 billion a year.,Doctors practice defensive medicine because of all the superficial lawsuits that cost our government $28 billion a year.
"Like Mr. Perot, I am concerned about the deficits and $150 billion is a lot of money, but it's awful hard to say we're going to go out and spend more money when we're trying to get the deficit down.","Like Mr. Perot, I am concerned about the deficits and $150 billion is a lot of money, but it's difficult to say we're going to go out and spend more money when we're trying to get the deficit down."
Look at that horrible—these are radical Islamic terrorists.,Look at that horrible—these are terrorists.
"I believe that if we are inspired, if we can achieve a degree of unity, if we can set our goals high enough and work toward recognized goals with industry and labor and agriculture along with government at all levels, then we can achieve great things.","Goals need to be achieved and industry, labor and agriculture need to be improved."
"Ours is a great land, and one of the reasons why is because we're free.",We live in a democracy.
I have enormous regard for the men and women of the U. S. military.,I have admiration for the men and women of the U. S. military.
This is a democracy in which we have the freest press and the greatest First Amendment rights in the history of mankind.,This is a democracy in which we have freedom of expression in the press and the First Amendment rights.
"I demanded an apology from Vice President Bush because I had, instead, honored these young men, grieved for their families, and think they were wonderful Americans that honored us all.",I demanded an apology from Vice President Bush because I they honored us all.
"In 1974, we had the worst recession, the deepest and most penetrating recession since the Second World War.","In 1974, we had the a big recession since the Second World War."
"The administration, seems like we're having a great love fest tonight, but the administration made the right decision on training Nigerian troops for situations just such as this in Rwanda, and so I thought they made the right decision not to send U. S. troops into Rwanda.",The administration made the right decision on training Nigerian troops for situations just such as this in Rwanda.
And it is sort of amusing to hear somebody who hasn’t paid federal income taxes in maybe 20 years talking about what he’s going to do.,And it is sort of amusing to hear somebody in your position.
"And the mixed message, the ambiguities of U. S. foreign policy, uh are -- I believe, and Bob Dole believes, is causing not only problems for this country throughout the world, but particularly here at home.","And the mixed message, the ambiguities of U. S. foreign policy, uh are -- This is causing problems everywhere."
"But to somehow say that group of young women who said ""Military wives for McCain"" are somehow saying anything derogatory about you, but anything -- and those veterans that wear those hats that say ""World War II, Vietnam, Korea, Iraq,"" I'm not going to stand for people saying that the people that come to my rallies are anything but the most dedicated, patriotic men and women that are in this nation and they're great citizens.","But to somehow say that group of young women who said ""Military wives for McCain"" are somehow saying anything derogatory about you, but anything -- and those veterans that wear those hats that say ""World War II, Vietnam, Korea, Iraq,"" I'm not going to stand for people saying that the people that come to my rallies are anything but dedicated and patriotic people.. And I'm not going to stand for somebody saying that because someone yelled something at a rally -- there's a lot of things that have been yelled at your rallies, Senator Obama, that I'm not happy about either."
And to call a businessman or woman who sits down and has a chance to express his or her interest in how to make these laws work and call them a polluter is just outrageous.,And not encouraging someone who wants to change the law for his or her job future is not right.
Governor Reagan is making some very misleading and disturbing statements.,Governor Reagan is making ambiguous statements.
"You know, I think the American people deserve credit for the great economy that we have.",People built a great economy.
And I think it's very damaging to our country for Mr. Ford to have turned over this responsibility to the secretary of state.,And I think it's a bad idea to our country for Mr. Ford to have turned over this responsibility to the secretary of state.
"But we ought to have an aggressive effort to make sure people are educated, to make sure when they get out of high school there's Pell Grants available for them, which is what we've done.","But we ought to have an effort to make sure people are educated, to make sure when they get out of high school there's Pell Grants available for them, which is what we've done."
"But I can't take what is an article of faith for me and legislate it for someone who doesn't share that article of faith, whether they be agnostic, atheist, Jew, Protestant, whatever. I can't do that.",People can have different beliefs.
"Because NAFTA, signed by her husband, is perhaps the greatest disaster trade deal in the history of the world.","Because NAFTA, signed by her husband, is perhaps the greatest debacle trade deal in the history of the world."
We don't know whether he's developing weapons of mass destruction.,We don't know whether he's developing something..
Obamacare is a disaster. You know it. We all know it.,Obamacare is not working properly.
"But I also believe that because we are the United States of America, we're a country with a great, unbelievable Constitution, with rights that we afford people, that you can't discriminate in the workplace.","People are afforded by rights, that can't be discriminated in the workplace."
"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",I know it's tough and honest people can disagree. And I do believe it would be inhibiting.
"And you let those people go with the guidelines of overall policy, not looking over their shoulder and nitpicking the manner in which they go at the job.","And you let those people go with the guidelines of overall policy, not looking over their shoulder and complaining the manner in which they go at the job."
"And I'm only here to tell you that I believe with all my heart that our first priority must be world peace, and that use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security.","And I'm only here to tell you that I believe with all my heart that our priority is the peace in the world, and that use of force is always and only a last resort, when everything else has failed, and then only with regard to our national security."
"And we have to tackle the plague of gun violence, which is a big contributor to a lot of the problems that we're seeing today.","And we have to tackle the violence, which is a big contributor to a lot of the problems that we're seeing today."
"But even worse than that, as ugly as that might be -- and I know it's a tragedy to many people both on the pro - choice and pro - life position -- we have a President who vetoed a congressional ban on the ugly and gruesome practice of snatching life away from a child just moments before he or she enters the world. That is unacceptable.",We have a President who vetoed a congressional ban on the ugly and gruesome practice of aborting.
It will create tremendous numbers of new jobs.,It will create big numbers of new jobs.
You leave future generations with tremendous IOUs.,You leave future generations with big IOUs.
But stop - and - frisk had a tremendous impact on the safety of New York City.,But stop - and - frisk had a big impact on the safety of New York City.
"Governor Reagan's proposal, the Reagan - Kemp - Roth proposal, is one of the most highly inflationary ideas that ever has been presented to the American public.",Governor Reagan's proposal has a big negative impact in the inflation.
"But if you have a situation like that right in our backyard with chaos about to break out and flotillas forming to come across the water, and all kinds of violence there, right in one of our neighboring countries there, then I think that we did the right thing there.","But if you have a situation like that in our country andin one of our neighboring countries there, then I think that we did the right thing there."
"I think the greatest thing that ever happened to the South was the passage of the Civil Rights Act and the opening up of opportunities - uh to black people - the chance to vote, to hold a job, to buy a house, to go to school, and to participate in public affairs.",The passage of the Civil Rights Act and the opening up of opportunities has been a great thing.
It was killed in the Rules Committee.,Rules Committee rejected it.
"But if there's one thing we also understand it is that you cannot make concessions to terrorists, ever, ever.",We can't make concessions to terrorists.
"Well, as I said before, he used much harsher language when he talked about Bob Dole.","Well, as I said before, he used another language when he talked about Bob Dole."
This orgy of spending and enormous deficits you voted for almost all of his budgets.,This expenses and losses you voted for almost all of his budgets.
It's unbelievable that we could cause a drop in the standard of living of a friendly country like Mexico by nearly 40 to 50 percent.,Mexico's standard of living is dropping by nearly 40 to 50 percent.
"And it would be one to take Government off the backs of the great people of this country, and turn you loose again to do those things that I know you can do so well, because you did them and made this country great.","And it would be one to take Government off the backs of the people, and turn you loose again to do those things that I know you can do so well, because you did them and made this country great."
